SMILES,LogS
CC12CCC3(O)C(CCC4=CC(=O)CCC43C)C1CCC2=O,-2.68
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],-3.8664
NS(=O)(=O)c1ccc(Nc2ccnc(NC(=O)c3cccnc3)n2)cc1,-1.27
COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,-4.2155
Oc1cc2ccccc2cc1C1=NCCN1,-3.3015
c1ccc(P(c2ccccc2)c2ccccc2)cc1,-6.201301100399999
CCCCCCCCCCC1CO1,-5.923156849500001
CCOC(=O)C1C(C=C(C)C)C1(C)C,-4.7652682741
CNC(=O)Oc1cc(C)cc(C)c1,-2.5813
CCC(NC=NN)C(=O)O,-0.8608
CC(C)Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-3.8226
S=c1[nH]sc(=S)[nH]1,-1.7618
NC(Cc1ccc(O)c(O)c1)C(=O)OCc1ccccc1,-1.81
CCCCCOC(=O)CCCNC(=O)NC1CCCCC1,-2.3
CC(C)(C)C(=O)OCn1cc(F)c(=O)n(COC(=O)C(C)(C)C)c1=O,-3.9
O=C(O)COC1CCCC1,-0.8471
CC(CN)CCCN,-1.3272487005
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,-3.6098
CC1=CCC(C(C)CC2CCCC2=O)CC1,-4.6803670486
CCN1CCn2c(nc3ccccc3c2=O)C1C,-2.5
CC(C)=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,-3.55
O=C(O)c1cc2ccccc2cc1O,-3.4172455835
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],-2.3381
Cc1cc(=S)n(C)n1-c1ccccc1,-1.6668
CNC(=O)OCc1cccc(Cl)c1Cl,-3.1389
CCNc1nc(Cl)nc(NC(C)(C)C)n1,-4.43
Cc1c(N)cccc1Cl,-2.1510663204
Cc1nc2c(=O)[nH]c(=O)n(C)c2nc1C,-2.1129
CCN(CCC#N)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,-4.2526115544
C=CC1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,-2.79
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-5.661813631699999
CCCCC(CC)COC(=O)OOC(C)(C)C,-4.6599585126
OC[C@@H]1CO[C@@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,-2.9059550684
CC(=NNC(=O)c1nccs1)C(=O)O,-1.93
CCCCCCC(=O)N(C)S(=O)(=O)c1ccc(N(C)C)cc1,-3.68
CCONC(=O)c1cn(C)c(=O)c(F)c1Nc1ccc(Br)cc1F,-4.19
CC(C)CC(NC(=O)CC(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCCC(N)C(=O)O,-2.22
C/C=C/CC1(C/C=C/C)C(=O)NC(=O)NC1=O,-2.1973
OCC(O)COc1ccc(Cl)cc1,-1.3067
CC(CCC(C)O[N+](=O)O)O[N+](=O)O,-2.68
CCNC(=O)Oc1cc(/C=C(/C#N)C(=O)N(CC)CC)cc([N+](=O)[O-])c1O,-3.18
O=C1C(Br)=CC(=CNOc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C=C1Br,-6.6637
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,-5.06
CCCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,-4.46
CCC(=O)c1ccccc1,-2.0485000681
CC(C)C1OC2(CCCC2)OCC1(C)C,-3.5242437705
COC(=O)c1ccccc1O,-1.3130000000000002
CCc1nc2[nH]c(=O)[nH]c(=O)c2nc1CC,-2.39
O=C(O)c1ccsc1,-1.4743
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,-4.4
C=CCSC(CCC(SCC=C)C(=O)O)C(=O)O,-2.2
[Y],-4.8349877189
Nc1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,-4.13
CC(=O)Oc1ccc(NC(=O)Nc2ccccc2)cc1,-4.44
CC(=O)c1ccc2ccccc2c1,-2.7964187192
CC(=O)Nc1ccc(OP(=O)(O)O)cc1,0.13
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,-3.49
N#CCCN(CCC#N)CC(=O)O,0.4578
Cc1ccc2c(ccc3ccccc32)c1,-5.8367
CC(CCO)CC(C)(C)C,-2.5570799155
CCN(CC)CCOC(=O)c1ccc(NC(C)=O)cc1,-1.65
CC(Cl)C(Cl)(Cl)C(O)O,-0.8666
Cc1cccc(NC(=O)c2ccccc2C(=O)O)c1,-2.407
CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-8.2701498682
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.77
C=C1CCO[C@]2(C(O)C(C)(O)CO)NC(=O)[C@@]1(O)NC2=O,-0.1971
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.813
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-4.2
CC12CCC3C(CCC4C(C)(C)CCCC43C)(CO1)O2,-5.6453848366
Clc1cccc(Cl)c1Oc1ccccc1,-5.0605
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,-3.8121
O=Cc1cccc2c1OC(F)(F)O2,-2.1558333574
S=c1cnc2cncnc2[nH]1,-2.71
NS(=O)(=O)c1ccc(NC2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,-0.9801
CCC(=O)OC(C)C,-1.2906
C=CC(=O)OC1CCC(C(C)(C)C)CC1,-3.539328096
CCCCCCCCCCCCCCCCOC(C)=O,-7.397152994400001
Cc1ccc(S(=O)(=O)C2(C(=O)OC(C)C)CC2)cc1,-3.2307
Clc1ccccc1-c1ccccc1Cl,-5.0813
Cc1ccc(O)cc1,-0.7015479053
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,-2.67
CCN(CC)CC(C)O,0.1021113643
CCCOc1ccc2c(c1)C(c1ccc(OC)cc1OCC(=O)O)C(C(=O)O)C2c1ccc2c(c1)OCO2,-6.77
O=C1C(Cl)C(CCl)CN1c1cccc(C(F)(F)F)c1,-4.05
CCCCCCCCCCOc1ccc(C(CC)=NO)c(O)c1,-4.06
CC(=O)Nc1ccc(S(=O)(=O)N=c2sc(S(N)(=O)=O)nn2C)cc1,-1.69
CC(=O)OC/C=C/c1ccccc1,-2.7927245342
COc1cc(C(=O)CO)ccc1O,-1.78
O=C(c1ccccc1)c1ccc(O)c(O)c1,-2.9226200497000003
COc1ccc2[nH]c(=O)cc(C(=O)[O-])c2c1,-3.1104
C=C1C=CC(=O)O1,-0.9827
CC(C)CCCCCCCOCCCNCCCN,-3.2048809276
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-6.354159334099999
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-4.64
Nc1ccc(Cl)cc1Cl,-2.4171742578
CCOC(C)C(=O)C(O)O,-0.1707
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-6.08
CC1=CC(=O)CC(C)(C)C1=O,-0.8779041501
COC(=O)c1nccnc1N,-1.6422660516999998
CN(C)c1nc2ncncc2[nH]1,-1.3885
Clc1ccccc1C(Cl)(Cl)Cl,-5.0439330965
CCC(C)C,-3.1630000000000003
OCC(CO)(CO)CO,-0.3416163866
N#CC(C#N)=NNc1ccccc1,-3.36
C#CC1(OC(=O)c2ccc(-c3ccccc3)cc2)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,-8.11
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,-2.3153
CCCCCCCCCCCCCCCCO,-6.7697
COC(=O)CCCCC(=O)OC,-1.4629
COC(=O)c1c(C(=O)O)cccc1[N+](=O)[O-],-2.0853
CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1,-2.1757
COC(=O)c1ccc(C(=O)OC)cc1,-3.796856222
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc(Cl)c1Cl,-8.7202
CCOC(=O)CCSP(=S)(OC(C)C)OC(C)C,-4.2747784981
CC(C)CCCCCCCCCCCCCCC(=O)OC(CO)CO,-6.855595468500001
CC1(C)OC(=O)c2cc(C#N)ccc21,-2.91
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.5
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481
O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,-0.43
CCN1CCCCC1,-1.2757105223
CCC(SC(CC)C(=O)O)C(=O)O,-0.71
ON=C1CCCCC1,-0.8495729560999999
CCCCCCC(=O)OCC(COC(=O)CCCCCC)(COC(=O)CCCCCC)COC(=O)CCCCCC,-7.0680633512
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915
CCCCCCC[C@H]1CCC(=O)O1,-3.0668187599000003
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,-5.6941064111
NC(N)=Nc1nc2ccccc2s1,-2.4412
N#Cc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1,-3.6
O=C(O)COc1ccccc1[N+](=O)[O-],-2.016
CC1(C)C(O)C(C)(C)C1O,-0.3736775878
Cc1cc(O)c(C(C)(C)C)cc1C(C)CC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C,-7.1341930504999995
CC1CCCC(=NO)C1=NO,-1.5916
CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,-2.8923562141000003
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,-9.38
CC/C=C\CCOC(=O)C/C=C\CC,-4.5097094839
CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,-5.5097937283
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2014
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,-3.5706
O=C([O-])c1cccc(Cl)c1[N+](=O)[O-],-2.6323
CC(=O)O[C@@H]1C[C@@H]2CC[C@@]1(C)C2(C)C,-3.4963238418
CNC(=O)O/N=C(/C)C(C)SC,-0.7353
COC(=O)C1CCC(C(=O)OC)CC1,-1.3871946661
O=C(O)COc1c(Cl)ccc(Cl)c1Cl,-2.6198
CCCCCCCN,-1.85
CCCC(=O)OCn1cc2c(=O)n(COC(=O)CCC)cnc2n1,-3.55
CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,-5.4201521344
Nc1cccc(S(=O)(=O)CCOS(=O)(=O)O)c1,-1.4238808493
CC1=NN(c2ccccc2)C(=O)C1,-1.9250852844
c1ccoc1,-0.82
NS(=O)(=O)c1ccc(CCCO)cc1,-1.032
C#CC#C,-0.7241
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.6466
CSC1=CC(=O)c2ccccc2C1=O,-4.4651
CC(C)N(C(=O)COC(=O)c1ccccc1)C(C)C,-3.34
O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12,-4.5096151077
Nc1ncnc2c1ncn2[C@]1(CO)O[C@H](CO)[C@@H](O)[C@H]1O,-1.5701
C=CCCCCC=C,-4.0232731502
CCCC(=O)NNC(=O)c1ccncc1,-0.32
CC12CCC(CC1=O)C(C)(C)O2,-0.9249
CC(=O)OCn1ncc2c(=O)[nH]cnc21,-2.56
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,-4.48
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn(C(c3ccccc3)(c3ccccc3)c3ccccc3)n2)cc1,-6.4612511717
O=C1CCCCCCCCN1,-1.0737
CCCCC(CC)COC(=O)c1ccccc1,-5.767784581
NC(=O)NCNC(N)=O,-0.6525
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,-2.31
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc(S(=O)(=O)O)c21,0.2572
CCn1c(O)c(N=Nc2ccc(Cl)cc2[N+](=O)[O-])c(C)c(C#N)c1=O,-6.69
C[C@@H]1C[NH2+][C@@H](C)C[NH2+]1,0.4864
CC(C)CCO,-0.4681010618999999
CCCCOC(=O)C1(O)c2ccccc2-c2ccccc21,-3.8885
O=C1/C(=C2/Nc3ccccc3C2=O)Nc2ccccc21,-6.7197753001
Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1,-9.64
O=c1cnc2c(=O)[nH]c(=O)[nH]c2[nH]1,-3.34
O=C(O)C=Cc1c[nH]cn1,-1.96
Cc1c(OCC(F)(F)F)ccnc1CO,-1.7920737105000002
CC(C)=CC1CC(C)CCO1,-2.2244457918
COc1ccc2cc(C(C)C(=O)OCC(=O)N(CCO)CCO)ccc2c1,-2.96
CC(=O)OC1CC2CC1C1CCCC21,-3.3380498278
OCC1OC(n2c(-c3ccco3)nc3ccccc32)C(O)C(O)C1O,-2.33
CCC1OC(=O)c2cc(C#N)ccc21,-2.31
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,-3.2859
CCC(N)C(=O)O,0.2868
O=C(O)c1cccc(Cl)c1[N+](=O)[O-],-2.63
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-6.8424
COc1ccc2cc(C(C)C(=O)OCCCCN3CCOCC3)ccc2c1,-3.7
O=S(=O)(c1ccccc1)c1ccccc1,-4.1928799405
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,-1.3016
CC(CC(=O)OOC(C)(C)C)CC(C)(C)C,-4.2100961015
CC1CC(C)(C)OC(Cc2ccccc2)O1,-2.7446854432
CCC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1,-2.48
Cn1nc(S(N)(=O)=O)sc1=NS(=O)(=O)c1ccc(Br)cc1,-2.51
Cc1c2ccccc2cc2ccc3ccccc3c12,-6.5648
O=C1CC(=O)NC(=O)N1,-1.0486616392
CC(C)CCCCCOC(=O)CS,-4.2850368969
C=CCOC(CO)CO,0.481
CCCC,-2.977604072
Cc1cc(O)ccc1O,-0.2074175173999999
CCNC1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,-2.95
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,-3.98
NS(=O)(=O)c1nnc(NS(=O)(=O)Cc2ccccc2)s1,-2.7
Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,-8.06
CNc1ccccc1,-1.2803
CC1CCC2C(=O)OC(=O)C2C1,-1.3015260488
N#CC(Br)(Br)C(N)=O,-1.2075
CCCc1c2c(cc3c(=O)cc(C(=O)O)oc13)CCCC2,-1.9
CCNc1nc(NC(C)C(C)C)nc(SC)n1,-3.7082
CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004
N#Cc1ccccc1/C=C/c1ccc(/C=C/c2ccccc2C#N)cc1,-4.2206388586
Nc1ccc([N+](=O)[O-])cc1,-2.2782
CC(C)(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-4.7274
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,-4.78
Cc1cccc(C(C)C)c1,-3.4994
CCN(CC)c1cccc(O)c1,-2.0112787971
CC(C)(O)CCCC1=CCC(C=O)CC1,-1.5376
CCCCCCCC1CCCC1=O,-3.7694416506
CC(=O)Oc1ccc(-c2ccccc2)cc1,-4.4
OC1CCCCCCC1,-1.29
CC(=O)c1ccc(N)cc1,-1.6058
CN(CC(=O)NCCC(=O)Nc1nnc(S(N)(=O)=O)s1)C(=N)N,-1.13
C(=C/c1ccccc1)\c1ccccc1,-5.7905
Oc1ccccc1,-0.04
N#Cc1cccc(N=C=S)c1,-3.19
CCOc1nc(C(Cl)(Cl)Cl)ns1,-3.3254
ClCCSCCCl,-2.3666
O=S(=O)(CCCl)CCOCCS(=O)(=O)CCCl,-1.9408
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],-6.4491
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,-6.239449641499999
CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccccc1,-7.5414466266
CCOc1ccc(N)cc1,-0.8608353259999999
CC[C@@H](C)[C@H](N)C(=O)O,-0.3895
CC(=O)OC1CCC2CCCCC2C1,-3.5605044151999996
CC(=NNC(=O)c1ccncc1)C(=O)O,-3.31
O=C(O)C(Cl)=C(Br)Br,-0.6873
Cc1cc(O)c(C(=O)O)c(O)c1,-2.0496
CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,-4.8276
CN(C)C(=O)CCOC(=O)c1ccccc1,-1.0994
CCCCOP(=O)(OCC)OCC,-1.1466
CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,-2.5
CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1,-1.6926402974
CCCCCCCCBr,-5.0631
Clc1ccc(Cl)c(-c2ccccc2Cl)c1,-6.02
CC(C)(Sc1c(C(C)(C)C)cc(O)cc1C(C)(C)C)Sc1c(C(C)(C)C)cc(O)cc1C(C)(C)C,-8.17
Clc1cccc(Oc2ccc(Cl)c(Cl)c2Cl)c1,-7.09
COC(=O)C1(S(=O)(=O)c2ccccc2)CCC1,-3.0005
CCOP(=S)(OCC)SCS(=O)C(C)(C)C,-2.4421
Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,-4.1506087086
CCc1ccccc1C,-3.2072
c1ccsc1,-1.4450110492
CCCI,-2.29
CC1(C)CN=C(NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1,-7.916
O=C(O)C1(O)CCCCC1,-0.3328
O=[N+]([O-])c1ccc(-c2nc3ccc(Cl)cc3[nH]2)o1,-4.82
CCCC(O)CC,-0.8025
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,-6.5580902807
NS(=O)(=O)c1ccc(SCCCO)cc1,-2.2472
CCCCCCCCCC=O,-3.7255255026
COC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-5.1235829068
CCOC(/C=C(\C)CCC=C(C)C)OCC,-2.3547996853
CCCCCCCCCCCC(=O)OCCCCCC,-6.7550878414
COc1ccc2cc(C(C)C(=O)OC(C)(C)C)ccc2c1,-6.5
Cc1nc2cncnc2n(C)c1=O,-1.489
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,-3.61
Cc1ccc(NO)cc1,-0.7894
CCOc1ccc(O)cc1,-1.29
C1CC2C3CC(C2C1)C1(CCCO1)C3,-5.941561120199999
[Cu],-5.2979382401
CCOC(=O)C1(S(=O)(=O)c2ccc(C)cc2)CC1,-3.0104
CC(NC(=O)C(N)c1ccccc1)c1ccccc1,-1.66
Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F,-3.8009
CC(C)CC(C(=O)O)N(CCC#N)CCC#N,-1.14
CCC1(N2CCCCC2)C(=O)NC(=O)NC1=O,-2.1562
CCOc1ccc(C=O)cc1OC,-2.1913
O=C(Nc1ccccc1)C(O)(O)C(=O)Nc1ccccc1,-2.4568
Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)O)c(Nc3nc(Cl)nc(Cl)n3)c2)c2c1C(=O)c1ccccc1C2=O,0.1956
CCN(CC)c1nc(NC(C)C)nc(OC)n1,-4.888999999999999
COC(=O)c1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cc1N/N=C1\C(=O)C(C(=O)Nc2ccccc2OC)=Cc2ccccc21,-8.1750686223
CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12,-8.2900385416
NNC(N)=S,-0.8457609068
CC1=C(C#N)C(=O)N(C)C(=O)/C1=N\Nc1cccc(OS(=O)(=O)c2ccccc2)c1,-8.782716219400001
CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,-4.47
CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29
CCOC(=O)C1=C(C)C=CCC1(C)C,-3.411619706
CCCCCC(=O)OC,-1.87
CC(=O)CC(C)=NCCN=C(C)CC(C)=O,-2.83
CN(CCO)C(=O)COC(=O)c1ccccc1,-1.09
C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@H]2O)CC(=O)CC4,-4.947028744
CC(Br)CCl,-1.8476
CCCCOC(=O)C1C(C(=O)OCCCC)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,-7.5095589026
C=C(OCC)C1C(C)(C)CC(=O)CC1(C)C,-3.6433442829
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,-5.634046793
O=C(O)C(CO)c1ccccc1,-0.9305
CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,-6.9058735609
CCOC(=O)CNC(C)=CC(C)=O,-0.59
O=NC1=C(NO)CCCCC1,-1.4249
COc1cc(N)c2c(c1OC)C(=O)OC2,-2.08
CC[C@@H](C)[NH2+][C@@H](C)CC,-1.769
CCCCCCCCCCCCS[Sn](CCCC)(CCCC)SCCCCCCCCCCCC,-6.295424349
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1,-3.7030926455
Nc1nc(CC(=O)O)cs1,-1.9816731181
O=C(O)CC[Se][Se]CCC(=O)O,-2.2681
NNC(=O)Nc1ccccc1,-2.33
BrCC(Br)Br,-2.7272
CC(C)=CCC/C(C)=C/CO,-2.3519095035
N#CCCNCC(=O)O,0.3237
CCCCCCCCCCCCCC(=O)O,-5.3293
CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.7287
CNCC(C)c1ccccc1,-1.0947
COc1ccc(N)cc1NS(=O)(=O)c1ccc(N)cc1,-5.08
CC(C)COC(=O)C(C)(C)O,-0.7276
CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,-4.53
c1ccc(C2CO2)cc1,-1.9065411213
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,-2.6689999999999996
CSCC[C@@H](NC(C)=O)C(=O)[O-],-0.3216
NS(=O)(=O)c1ccccc1,-1.5630000000000002
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,-1.91
C=CCC1(CCCC)C(=O)NC(=O)NC1=O,-2.17
CC(=O)N(C)C(=O)COC(=O)c1ccccc1,-2.8664
CCCCCBr,-3.0753
O=C1CC(=O)CC(c2ccccc2)C1,-2.51
Clc1cc(Cl)c(Oc2ccccc2)cc1Cl,-6.58
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,-1.127
Cc1cc(C)c(C(=O)O)c(C)c1,-2.3566
CS(=O)(=O)c1cc(C(F)(F)F)ccc1C(=O)c1cnoc1C1CC1,-4.7631
CCN(CCCl)CCCl,-3.0265
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.7
COc1ccc(N)c([N+](=O)[O-])c1,-1.2257020372
CCCCCCCOC(=O)c1ccc(O)cc1,-4.0725
CCCCc1c2ccccc2cc2ccc3ccccc3c12,-7.5245
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(OC(F)(F)C(F)OC(F)(F)F)c(Cl)c1,-6.9675
CCNc1nc(Cl)nc(NCC)n1,-4.55
N#CCC[NH2+][C@@H](Cc1ccccc1)C(=O)[O-],-1.4939
O=C(c1ccc(Oc2ccccc2)cc1)c1ccc(C(=O)c2ccc(Oc3ccccc3)cc2)cc1,-7.973611776
O=C(c1ccco1)c1no[n+]([O-])c1C(=O)c1ccco1,-3.85
Nc1ncnc2nccnc12,-2.31
CCCCCCO,-1.382910122
CC(=O)/C=C/C1C(C)=CCCC1(C)C,-3.2586779358
CC(C)c1cccc(C(C)C)c1,-6.6027992709
Clc1ccc(I)cc1,-4.03
O=C(OCCO)c1ccccc1O,-1.1567
COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,-7.1379
CCOC(=O)c1ccccc1S(=O)(=O)NC(=O)Nc1nc(Cl)cc(OC)n1,-4.58
O=C(O)CC(CP1(=O)Oc2ccccc2-c2ccccc21)C(=O)O,-2.8135095056
CC12CCC(CC1=O)C2(C)C(=O)O,-1.78
CCCCCCCCCCCCCCCCCCNC(=O)NCCCNC(=O)NCCCCCCCCCCCCCCCCCC,-5.8229189425
CC(c1ccccc1)c1ccc(Nc2ccc(C(C)c3ccccc3)cc2)cc1,-5.9641687617
OCc1cccc(Oc2ccccc2)c1,-2.8258731416
CCC=C(C)C1(CC)C(=O)NC(=O)NC1=O,-2.31
C=C(Cl)C(Cl)CCl,-2.4244542069
CC12CCC(=O)CC1CCC1C2CCC2(C)C(OC=O)CCC12,-5.32
Cc1ccc(OCC(=O)O)cc1,-2.1414
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,-4.6772
CCOc1ccc([N+](=O)[O-])cc1N,-3.2113
Cc1ccc(C)c(C)c1,-3.31
Cc1c(NC(N)=O)c(=O)n(-c2ccccc2)n1C,-1.52
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,-2.93
NC(CSCCCSCC(N)C(=O)O)C(=O)O,-2.49
CCCCCCCCN(C)N=Nc1ccc(C(=O)O)cc1,-3.77
CC1(C)[C@@H](C(=O)[O-])CC[C@@]1(C)C(=O)[O-],-1.4207
Nc1cccc2ccc(S(=O)(=O)O)cc12,-1.6822793230000002
CC(C)C[C@H](N)C(=O)N[C@H](CCC(N)=O)C(=O)O,-1.5687
COC1CCC=CO1,-0.853333105
CCCCCCCCCCCCCCCCCCNC(=O)Nc1ccc(Cc2ccc(NC(=O)NCCCCCCCCCCCCCCCCCC)cc2)cc1,-5.9429946413
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)Cc2ccccc2)CSC1(C)C,-3.72
O=C(O)c1nc[nH]c1C(=O)O,-2.4944
CC(=O)CCl,-0.012
COc1ccccc1CC(C)NC(C)Cc1ccccc1OC,-2.0
CCCCCCNC(=O)c1cccnc1,-2.5221
CCCC(=O)OCCC(C)C,-2.9328521233
O=C(Nc1ccc(Cl)cc1)c1cc2ccccc2cc1O,-5.4738386427
CSCOC(=O)c1ccccc1OC(C)=O,-2.6404
CCCCN(CC)N=O,-1.0354
Cc1cc(C2(c3cc(C)c(O)c(Br)c3C(C)C)OS(=O)(=O)c3ccccc32)c(C(C)C)c(Br)c1O,-5.18
CCC(CC)(CC(=O)O)C(=O)O,-0.7962
O=C(O)CC(O)(CC(=O)O)C(=O)O,0.4768431239
O=C(O)CC(O)(CC(=O)O)C(=O)Nc1ccccc1,-0.4874
