Feature_1,Category_1,Feature_2,Category_2,Correlation,Abs_Correlation
AUTOCORR2D_23,TOPOLOGICAL,AUTOCORR2D_47,TOPOLOGICAL,0.9626771919335338,0.9626771919335338
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_18,TOPOLOGICAL,0.96267677425482,0.96267677425482
AUTOCORR2D_78,TOPOLOGICAL,AUTOCORR2D_86,TOPOLOGICAL,0.9626589549780139,0.9626589549780139
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9626562676147127,0.9626562676147127
AUTOCORR2D_1,TOPOLOGICAL,AUTOCORR2D_2,TOPOLOGICAL,0.962552977315643,0.962552977315643
AUTOCORR2D_5,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9624756316021295,0.9624756316021295
total_atoms,COMPOSITIONAL,mose_path3,TOPOLOGICAL,0.9623161008017383,0.9623161008017383
HeavyAtomCount,COMPOSITIONAL,mose_path3,TOPOLOGICAL,0.9623155969002554,0.9623155969002554
Chi2v,TOPOLOGICAL,Chi3v,TOPOLOGICAL,0.9623155317436101,0.9623155317436101
AUTOCORR2D_28,TOPOLOGICAL,abraham_E,ENERGETIC,0.9622812179785155,0.9622812179785155
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_17,TOPOLOGICAL,0.9621957397648179,0.9621957397648179
AUTOCORR2D_37,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9621444316016962,0.9621444316016962
Chi1n,TOPOLOGICAL,abraham_V,ENERGETIC,0.9621012619116752,0.9621012619116752
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_18,TOPOLOGICAL,0.9620983728637007,0.9620983728637007
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9619557199308458,0.9619557199308458
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9618807606564173,0.9618807606564173
AUTOCORR2D_11,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9618156649741152,0.9618156649741152
MolWt,COMPOSITIONAL,AUTOCORR2D_0,TOPOLOGICAL,0.961754053815563,0.961754053815563
AUTOCORR2D_36,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9617490235194859,0.9617490235194859
AUTOCORR2D_39,TOPOLOGICAL,AUTOCORR2D_47,TOPOLOGICAL,0.9617241898412338,0.9617241898412338
AUTOCORR2D_24,TOPOLOGICAL,abraham_E,ENERGETIC,0.9616634239259759,0.9616634239259759
ExactMolWt,COMPOSITIONAL,AUTOCORR2D_0,TOPOLOGICAL,0.9616163538135216,0.9616163538135216
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_16,TOPOLOGICAL,0.9614982047738853,0.9614982047738853
AUTOCORR2D_21,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9614499435672581,0.9614499435672581
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_32,TOPOLOGICAL,0.9610140218631373,0.9610140218631373
AUTOCORR2D_8,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9609791968989052,0.9609791968989052
Chi0n,TOPOLOGICAL,Chi2n,TOPOLOGICAL,0.9609503716702641,0.9609503716702641
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_11,TOPOLOGICAL,0.9609075577607998,0.9609075577607998
total_atoms,COMPOSITIONAL,AUTOCORR2D_11,TOPOLOGICAL,0.9609074694637014,0.9609074694637014
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_18,TOPOLOGICAL,0.9608943116245079,0.9608943116245079
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_16,TOPOLOGICAL,0.9608674480995089,0.9608674480995089
total_atoms,COMPOSITIONAL,AUTOCORR2D_37,TOPOLOGICAL,0.9608182982489235,0.9608182982489235
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_37,TOPOLOGICAL,0.9608182652018795,0.9608182652018795
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9607547879446277,0.9607547879446277
AUTOCORR2D_151,TOPOLOGICAL,AUTOCORR2D_175,TOPOLOGICAL,0.9607326256124112,0.9607326256124112
total_atoms,COMPOSITIONAL,AUTOCORR2D_13,TOPOLOGICAL,0.9606486554791402,0.9606486554791402
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_13,TOPOLOGICAL,0.9606486224379311,0.9606486224379311
AUTOCORR2D_24,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9606410118119367,0.9606410118119367
AUTOCORR2D_13,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9605791733466166,0.9605791733466166
AUTOCORR2D_35,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9605191236763962,0.9605191236763962
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9604965048166875,0.9604965048166875
AUTOCORR2D_20,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9604272038215514,0.9604272038215514
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9603580375293632,0.9603580375293632
Chi0,TOPOLOGICAL,Chi0v,TOPOLOGICAL,0.9603390892911123,0.9603390892911123
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9602578985828123,0.9602578985828123
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_15,TOPOLOGICAL,0.959959266513958,0.959959266513958
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_26,TOPOLOGICAL,0.9599361568604269,0.9599361568604269
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_47,TOPOLOGICAL,0.9599138897992349,0.9599138897992349
Chi0v,TOPOLOGICAL,Kappa1,TOPOLOGICAL,0.9598906852150123,0.9598906852150123
AUTOCORR2D_70,TOPOLOGICAL,AUTOCORR2D_78,TOPOLOGICAL,0.959815325633858,0.959815325633858
Chi0n,TOPOLOGICAL,abraham_V,ENERGETIC,0.9597851045812902,0.9597851045812902
ExactMolWt,COMPOSITIONAL,Chi0v,TOPOLOGICAL,0.9595209253840601,0.9595209253840601
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9594357842288094,0.9594357842288094
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_31,TOPOLOGICAL,0.9592820739768446,0.9592820739768446
AUTOCORR2D_28,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9592507740044497,0.9592507740044497
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_34,TOPOLOGICAL,0.9592458141820525,0.9592458141820525
AUTOCORR2D_159,TOPOLOGICAL,AUTOCORR2D_167,TOPOLOGICAL,0.9591180125935049,0.9591180125935049
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_19,TOPOLOGICAL,0.959091352605409,0.959091352605409
total_atoms,COMPOSITIONAL,AUTOCORR2D_21,TOPOLOGICAL,0.959089621009675,0.959089621009675
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_21,TOPOLOGICAL,0.9590895880220883,0.9590895880220883
AUTOCORR2D_18,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9590786331148243,0.9590786331148243
AUTOCORR2D_10,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.9590190304548291,0.9590190304548291
AUTOCORR2D_25,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9590059954037568,0.9590059954037568
AUTOCORR2D_61,TOPOLOGICAL,AUTOCORR2D_85,TOPOLOGICAL,0.9588451307871005,0.9588451307871005
MolWt,COMPOSITIONAL,Chi0v,TOPOLOGICAL,0.9587539202549145,0.9587539202549145
AUTOCORR2D_20,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9586207995061536,0.9586207995061536
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.9584769238510331,0.9584769238510331
num_C,COMPOSITIONAL,Chi1n,TOPOLOGICAL,0.9583956626461132,0.9583956626461132
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9583933474488466,0.9583933474488466
Chi0,TOPOLOGICAL,Kappa1,TOPOLOGICAL,0.9583817727195157,0.9583817727195157
MaxPartialCharge,PHYSICOCHEMICAL,MinAbsPartialCharge,PHYSICOCHEMICAL,0.9583631500811599,0.9583631500811599
AUTOCORR2D_19,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9581480660215035,0.9581480660215035
NumValenceElectrons,COMPOSITIONAL,abraham_E,ENERGETIC,0.9580789007766657,0.9580789007766657
AUTOCORR2D_30,TOPOLOGICAL,AUTOCORR2D_31,TOPOLOGICAL,0.9580409697220904,0.9580409697220904
AUTOCORR2D_20,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.957947304110679,0.957947304110679
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_12,TOPOLOGICAL,0.9578061497043651,0.9578061497043651
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_16,TOPOLOGICAL,0.9574929271035271,0.9574929271035271
AUTOCORR2D_4,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9574847821487663,0.9574847821487663
AUTOCORR2D_37,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9574691573983233,0.9574691573983233
AUTOCORR2D_56,TOPOLOGICAL,AUTOCORR2D_72,TOPOLOGICAL,0.9574228252775465,0.9574228252775465
NOCount,COMPOSITIONAL,TPSA,PHYSICOCHEMICAL,0.9574126048869195,0.9574126048869195
AUTOCORR2D_13,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9573995182438324,0.9573995182438324
Chi0,TOPOLOGICAL,abraham_E,ENERGETIC,0.9573400422432525,0.9573400422432525
AUTOCORR2D_9,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.9569571128192109,0.9569571128192109
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_37,TOPOLOGICAL,0.956951064242942,0.956951064242942
mose_path3,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9562742881735503,0.9562742881735503
AUTOCORR2D_82,TOPOLOGICAL,AUTOCORR2D_83,TOPOLOGICAL,0.9562060088071342,0.9562060088071342
AUTOCORR2D_11,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9560009027735954,0.9560009027735954
AUTOCORR2D_66,TOPOLOGICAL,AUTOCORR2D_67,TOPOLOGICAL,0.9558229363027143,0.9558229363027143
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_21,TOPOLOGICAL,0.955753293385676,0.955753293385676
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9556706073931568,0.9556706073931568
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_13,TOPOLOGICAL,0.9555956532449345,0.9555956532449345
AUTOCORR2D_11,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.955506229386944,0.955506229386944
AUTOCORR2D_167,TOPOLOGICAL,AUTOCORR2D_175,TOPOLOGICAL,0.9554658308614749,0.9554658308614749
HeavyAtomCount,COMPOSITIONAL,Chi0v,TOPOLOGICAL,0.9553193846019595,0.9553193846019595
total_atoms,COMPOSITIONAL,Chi0v,TOPOLOGICAL,0.9553190476278867,0.9553190476278867
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_17,TOPOLOGICAL,0.9552123293691657,0.9552123293691657
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9552048140491695,0.9552048140491695
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9551630557148786,0.9551630557148786
Chi0n,TOPOLOGICAL,abraham_E,ENERGETIC,0.9551531427066464,0.9551531427066464
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_23,TOPOLOGICAL,0.9551203939294579,0.9551203939294579
AUTOCORR2D_29,TOPOLOGICAL,abraham_E,ENERGETIC,0.955078409420346,0.955078409420346
AUTOCORR2D_21,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.955073886501098,0.955073886501098
total_atoms,COMPOSITIONAL,AUTOCORR2D_28,TOPOLOGICAL,0.9550356422617292,0.9550356422617292
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_28,TOPOLOGICAL,0.9550356094135778,0.9550356094135778
Chi1v,TOPOLOGICAL,abraham_E,ENERGETIC,0.9550170123579198,0.9550170123579198
AUTOCORR2D_23,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.9549214271531141,0.9549214271531141
AUTOCORR2D_28,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.954778307413837,0.954778307413837
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_36,TOPOLOGICAL,0.9547576431897716,0.9547576431897716
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9546469955775151,0.9546469955775151
AUTOCORR2D_38,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9546457712306945,0.9546457712306945
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9546171337545871,0.9546171337545871
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_22,TOPOLOGICAL,0.9545899968299013,0.9545899968299013
AUTOCORR2D_23,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9545452603459383,0.9545452603459383
AUTOCORR2D_62,TOPOLOGICAL,AUTOCORR2D_70,TOPOLOGICAL,0.9545427594731313,0.9545427594731313
AUTOCORR2D_0,TOPOLOGICAL,AUTOCORR2D_1,TOPOLOGICAL,0.9544103324446895,0.9544103324446895
AUTOCORR2D_34,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.954183175251873,0.954183175251873
AUTOCORR2D_39,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.9541806637021892,0.9541806637021892
Chi0n,TOPOLOGICAL,Chi0v,TOPOLOGICAL,0.9535461957684792,0.9535461957684792
NumValenceElectrons,COMPOSITIONAL,Chi1n,TOPOLOGICAL,0.9535111674569643,0.9535111674569643
Chi1n,TOPOLOGICAL,Chi3n,TOPOLOGICAL,0.9534818206857056,0.9534818206857056
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9534616997402908,0.9534616997402908
AUTOCORR2D_27,TOPOLOGICAL,abraham_E,ENERGETIC,0.9534149277686006,0.9534149277686006
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_20,TOPOLOGICAL,0.9534029137799599,0.9534029137799599
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_47,TOPOLOGICAL,0.9533715702500901,0.9533715702500901
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_8,TOPOLOGICAL,0.9532412062328715,0.9532412062328715
AUTOCORR2D_175,TOPOLOGICAL,AUTOCORR2D_183,TOPOLOGICAL,0.953108146835011,0.953108146835011
total_atoms,COMPOSITIONAL,AUTOCORR2D_17,TOPOLOGICAL,0.952707725206713,0.952707725206713
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_17,TOPOLOGICAL,0.9527069011832592,0.9527069011832592
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_35,TOPOLOGICAL,0.9526856880911463,0.9526856880911463
total_atoms,COMPOSITIONAL,AUTOCORR2D_35,TOPOLOGICAL,0.9526856036305579,0.9526856036305579
AUTOCORR2D_22,TOPOLOGICAL,AUTOCORR2D_23,TOPOLOGICAL,0.9524950528453193,0.9524950528453193
AUTOCORR2D_12,TOPOLOGICAL,abraham_E,ENERGETIC,0.9522959882583129,0.9522959882583129
AUTOCORR2D_22,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9521483308711787,0.9521483308711787
AUTOCORR2D_9,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9518888233588952,0.9518888233588952
AUTOCORR2D_35,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.951735609448316,0.951735609448316
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9517059329939485,0.9517059329939485
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_16,TOPOLOGICAL,0.9516724838921599,0.9516724838921599
AUTOCORR2D_4,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.951555288497558,0.951555288497558
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.951506680939017,0.951506680939017
AUTOCORR2D_2,TOPOLOGICAL,AUTOCORR2D_3,TOPOLOGICAL,0.9511176628724898,0.9511176628724898
AUTOCORR2D_47,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.9510489589550881,0.9510489589550881
AUTOCORR2D_19,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9509407535355023,0.9509407535355023
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9506312778416626,0.9506312778416626
AUTOCORR2D_81,TOPOLOGICAL,AUTOCORR2D_82,TOPOLOGICAL,0.950617309993633,0.950617309993633
Chi2n,TOPOLOGICAL,Chi4n,TOPOLOGICAL,0.9506079040912794,0.9506079040912794
AUTOCORR2D_16,TOPOLOGICAL,AUTOCORR2D_21,TOPOLOGICAL,0.9505976446358138,0.9505976446358138
AUTOCORR2D_25,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9504727905057249,0.9504727905057249
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_17,TOPOLOGICAL,0.9502539675237125,0.9502539675237125
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_24,TOPOLOGICAL,0.9501724647277271,0.9501724647277271
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9501229188926232,0.9501229188926232
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_19,TOPOLOGICAL,0.9500573664192394,0.9500573664192394
total_atoms,COMPOSITIONAL,AUTOCORR2D_19,TOPOLOGICAL,0.9500572818682553,0.9500572818682553
AUTOCORR2D_158,TOPOLOGICAL,AUTOCORR2D_182,TOPOLOGICAL,0.9500209441670319,0.9500209441670319
AUTOCORR2D_88,TOPOLOGICAL,AUTOCORR2D_89,TOPOLOGICAL,0.9499870441790934,0.9499870441790934
AUTOCORR2D_5,TOPOLOGICAL,AUTOCORR2D_12,TOPOLOGICAL,0.9499637269244624,0.9499637269244624
AUTOCORR2D_56,TOPOLOGICAL,AUTOCORR2D_57,TOPOLOGICAL,0.9499480004217716,0.9499480004217716
Chi0v,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9499451524293209,0.9499451524293209
AUTOCORR2D_28,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9498173280085571,0.9498173280085571
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_14,TOPOLOGICAL,0.9497552526890426,0.9497552526890426
AUTOCORR2D_87,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.949722195821646,0.949722195821646
AUTOCORR2D_37,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9495577193844119,0.9495577193844119
AUTOCORR2D_18,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.9495381029760043,0.9495381029760043
AUTOCORR2D_28,TOPOLOGICAL,Chi0v,TOPOLOGICAL,0.9494604994804974,0.9494604994804974
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_35,TOPOLOGICAL,0.949371937336358,0.949371937336358
AUTOCORR2D_22,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9492434740451459,0.9492434740451459
AUTOCORR2D_60,TOPOLOGICAL,AUTOCORR2D_84,TOPOLOGICAL,0.9491852551018082,0.9491852551018082
AUTOCORR2D_49,TOPOLOGICAL,AUTOCORR2D_50,TOPOLOGICAL,0.9491516807625622,0.9491516807625622
AUTOCORR2D_13,TOPOLOGICAL,abraham_E,ENERGETIC,0.9490951773624168,0.9490951773624168
AUTOCORR2D_15,TOPOLOGICAL,AUTOCORR2D_22,TOPOLOGICAL,0.9490349987603255,0.9490349987603255
total_atoms,COMPOSITIONAL,AUTOCORR2D_33,TOPOLOGICAL,0.9489926884448672,0.9489926884448672
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_33,TOPOLOGICAL,0.9489918629920508,0.9489918629920508
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9489734266835507,0.9489734266835507
AUTOCORR2D_29,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.948957572517048,0.948957572517048
Chi1,TOPOLOGICAL,Chi1n,TOPOLOGICAL,0.9489229655107057,0.9489229655107057
AUTOCORR2D_71,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.94875579318792,0.94875579318792
mose_path3,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9486285627149411,0.9486285627149411
AUTOCORR2D_33,TOPOLOGICAL,mose_path5,TOPOLOGICAL,0.9486025657488013,0.9486025657488013
AUTOCORR2D_24,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9484693648624785,0.9484693648624785
HeavyAtomMolWt,COMPOSITIONAL,AUTOCORR2D_1,TOPOLOGICAL,0.9483077893150073,0.9483077893150073
AUTOCORR2D_64,TOPOLOGICAL,AUTOCORR2D_65,TOPOLOGICAL,0.948303473298373,0.948303473298373
AUTOCORR2D_4,TOPOLOGICAL,AUTOCORR2D_12,TOPOLOGICAL,0.9482887814052764,0.9482887814052764
AUTOCORR2D_63,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.9481568649764018,0.9481568649764018
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9480351999790984,0.9480351999790984
AUTOCORR2D_28,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9480055861145461,0.9480055861145461
total_atoms,COMPOSITIONAL,AUTOCORR2D_29,TOPOLOGICAL,0.9476333766961356,0.9476333766961356
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_29,TOPOLOGICAL,0.9476333441025829,0.9476333441025829
AUTOCORR2D_12,TOPOLOGICAL,AUTOCORR2D_19,TOPOLOGICAL,0.9474633947100758,0.9474633947100758
MinPartialCharge,PHYSICOCHEMICAL,MaxAbsPartialCharge,PHYSICOCHEMICAL,-0.947364121750737,0.947364121750737
AUTOCORR2D_8,TOPOLOGICAL,Chi0v,TOPOLOGICAL,0.9472597536904502,0.9472597536904502
AUTOCORR2D_26,TOPOLOGICAL,mose_path3,TOPOLOGICAL,0.9472164635249873,0.9472164635249873
Chi1v,TOPOLOGICAL,Chi3v,TOPOLOGICAL,0.9472102935390708,0.9472102935390708
AUTOCORR2D_6,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9470051073405482,0.9470051073405482
AUTOCORR2D_17,TOPOLOGICAL,Chi0,TOPOLOGICAL,0.9469561252290398,0.9469561252290398
AUTOCORR2D_31,TOPOLOGICAL,AUTOCORR2D_47,TOPOLOGICAL,0.9467731911213442,0.9467731911213442
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_24,TOPOLOGICAL,0.9464815509993268,0.9464815509993268
AUTOCORR2D_32,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9464191765807284,0.9464191765807284
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_13,TOPOLOGICAL,0.9463278844877918,0.9463278844877918
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_22,TOPOLOGICAL,0.9462689676730214,0.9462689676730214
AUTOCORR2D_151,TOPOLOGICAL,AUTOCORR2D_167,TOPOLOGICAL,0.9462597404709577,0.9462597404709577
AUTOCORR2D_10,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9461841311113212,0.9461841311113212
AUTOCORR2D_11,TOPOLOGICAL,AUTOCORR2D_25,TOPOLOGICAL,0.9461233957249087,0.9461233957249087
AUTOCORR2D_31,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9458901581595742,0.9458901581595742
AUTOCORR2D_5,TOPOLOGICAL,AUTOCORR2D_28,TOPOLOGICAL,0.9458893967262356,0.9458893967262356
AUTOCORR2D_6,TOPOLOGICAL,AUTOCORR2D_13,TOPOLOGICAL,0.9458878162960291,0.9458878162960291
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9458833238035547,0.9458833238035547
AUTOCORR2D_151,TOPOLOGICAL,AUTOCORR2D_159,TOPOLOGICAL,0.9458458674582155,0.9458458674582155
AUTOCORR2D_8,TOPOLOGICAL,AUTOCORR2D_33,TOPOLOGICAL,0.9458064816566794,0.9458064816566794
AUTOCORR2D_14,TOPOLOGICAL,AUTOCORR2D_37,TOPOLOGICAL,0.9457212391077222,0.9457212391077222
total_atoms,COMPOSITIONAL,AUTOCORR2D_9,TOPOLOGICAL,0.9455856595120304,0.9455856595120304
HeavyAtomCount,COMPOSITIONAL,AUTOCORR2D_9,TOPOLOGICAL,0.945585381880211,0.945585381880211
Chi1n,TOPOLOGICAL,abraham_E,ENERGETIC,0.9455005387762406,0.9455005387762406
mose_path5,TOPOLOGICAL,BertzCT,TOPOLOGICAL,0.9452934557071799,0.9452934557071799
AUTOCORR2D_27,TOPOLOGICAL,Chi0v,TOPOLOGICAL,0.9452887717395709,0.9452887717395709
AUTOCORR2D_23,TOPOLOGICAL,AUTOCORR2D_30,TOPOLOGICAL,0.9452693229784942,0.9452693229784942
AUTOCORR2D_30,TOPOLOGICAL,AUTOCORR2D_39,TOPOLOGICAL,0.9451857661791966,0.9451857661791966
AUTOCORR2D_24,TOPOLOGICAL,Chi1v,TOPOLOGICAL,0.9451134924685319,0.9451134924685319
AUTOCORR2D_22,TOPOLOGICAL,AUTOCORR2D_29,TOPOLOGICAL,0.9447667592728839,0.9447667592728839
AUTOCORR2D_24,TOPOLOGICAL,Chi0v,TOPOLOGICAL,0.9447575798266291,0.9447575798266291
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_36,TOPOLOGICAL,0.9447327107326207,0.9447327107326207
AUTOCORR2D_35,TOPOLOGICAL,Chi1,TOPOLOGICAL,0.9447016132010493,0.9447016132010493
AUTOCORR2D_19,TOPOLOGICAL,AUTOCORR2D_27,TOPOLOGICAL,0.9445886157597699,0.9445886157597699
AUTOCORR2D_79,TOPOLOGICAL,AUTOCORR2D_95,TOPOLOGICAL,0.9445299168728677,0.9445299168728677
AUTOCORR2D_29,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.944393975137364,0.944393975137364
AUTOCORR2D_17,TOPOLOGICAL,AUTOCORR2D_20,TOPOLOGICAL,0.9443494426654389,0.9443494426654389
NumValenceElectrons,COMPOSITIONAL,AUTOCORR2D_11,TOPOLOGICAL,0.9439640570208871,0.9439640570208871
AUTOCORR2D_21,TOPOLOGICAL,AUTOCORR2D_32,TOPOLOGICAL,0.9438737707954675,0.9438737707954675
AUTOCORR2D_13,TOPOLOGICAL,AUTOCORR2D_16,TOPOLOGICAL,0.9438514386117037,0.9438514386117037
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_22,TOPOLOGICAL,0.943837567072844,0.943837567072844
AUTOCORR2D_7,TOPOLOGICAL,AUTOCORR2D_38,TOPOLOGICAL,0.9437076005729296,0.9437076005729296
